context_id,question,response,latency,context_length,question_length,total_length
vllm_medium,What is the Abstract of this document?,"Who are you a translation of thedomaineю

(Response delay: 0.86 seconds)",1.0634074460249394,2834,38,2872
vllm_medium,What is the Introduction of this document?,"Who are you a translation of the document: 1× 4 S-5 Modification

(Response delay: 0.88 seconds)",1.231234597042203,2834,42,2876
vllm_medium,What is the Conclusion of this document?,"I'll 5 S-5. 1× 4× S-5 4× 4× 1m- 4 S-5 1× 4× 4t

(Response delay: 0.98 seconds)",1.7490375800989568,2834,40,2874
vllm_medium,What is the Background of this document?,"I 4 S-5 1× 5 1× 4t

(Response delay: 1.06 seconds)",1.4032148751430213,2834,40,2874
vllm_medium,What is the KV Cache Manager?,"I 4 S-5 1× 5 1× 4t

(Response delay: 1.22 seconds)",1.5774024850688875,2834,29,2863
vllm,What is the Abstract of this document?,"I 4 S-5 1× 4t

(Response delay: 1.40 seconds)",1.6695940280333161,3804,38,3842
vllm,What is the Introduction of this document?,"I 4 S-5 1× 4t

(Response delay: 1.32 seconds)",1.5861014670226723,3804,42,3846
vllm,What is the Conclusion of this document?,"I 4 S-5 1× 4 1× 4

(Response delay: 1.59 seconds)",1.9361662950832397,3804,40,3844
vllm,What is the Background of this document?,"I 4 S-5 1× 4t

(Response delay: 1.42 seconds)",1.6819278600160033,3804,40,3844
vllm,What is the KV Cache Manager?,"I 4 S-5 1× 4t

(Response delay: 1.58 seconds)",1.8603883171454072,3804,29,3833
vllm_short,What is the Abstract of this document?,"I 4 S-5 1× 4t

(Response delay: 1.31 seconds)",1.5483527821488678,1598,38,1636
vllm_short,What is the Introduction of this document?,"I 4 S-5 1× 4t

(Response delay: 1.26 seconds)",1.4953599569853395,1598,42,1640
vllm_short,What is the Conclusion of this document?,"I 4 S-5 1× 4t

(Response delay: 1.42 seconds)",1.6629074839875102,1598,40,1638
vllm_short,What is the Background of this document?,"I 4 S-5 1× 4t

(Response delay: 1.47 seconds)",1.7030475430656224,1598,40,1638
vllm_short,What is the KV Cache Manager?,"I 4 S-5 1× 4t

(Response delay: 1.50 seconds)",1.736078822053969,1598,29,1627
